timestamp,channel1_bias,channel1_derivedPk,channel1_direct,channel1_directRMS,channel1_velocityPk,channel1_velocityRMS,channel2_bias,channel2_derivedPk,channel2_direct,channel2_directRMS,channel2_velocityPk,channel2_velocityRMS,status,Epoch_Seconds
2025-01-22 11:46:11,-11.977,0.002,0.003,0.001,0.007,0.005,-12.017,0.002,0.003,0.001,0.006,0.004,2,1737546371
2025-01-22 11:49:05,-11.977,0.002,0.002,0.001,0.006,0.005,-12.017,0.002,0.002,0.001,0.005,0.005,2,1737546545
2025-01-22 12:00:57,-11.977,0.003,0.008,0.002,0.029,0.009,-12.017,0.003,0.008,0.002,0.025,0.008,2,1737547257
2025-01-22 17:00:12,-11.98,0.002,0.007,0.002,0.024,0.007,-12.023,0.002,0.006,0.002,0.021,0.006,2,1737565212
2025-01-22 17:15:10,-11.981,0.017,0.017,0.012,0.064,0.047,-12.023,0.014,0.014,0.01,0.055,0.039,2,1737566110
2025-01-22 17:20:10,-11.981,0.003,0.005,0.002,0.008,0.007,-12.023,0.003,0.005,0.002,0.008,0.007,2,1737566410
2025-01-23 11:47:47,-11.98,0.002,0.003,0.001,0.01,0.005,-12.021,0.002,0.003,0.001,0.01,0.005,0,1737632867
2025-01-23 11:57:54,-11.98,0.002,0.003,0.002,0.009,0.007,-12.021,0.002,0.003,0.002,0.008,0.007,0,1737633474
2025-01-23 12:18:16,-11.981,0.001,0.002,0.001,0.004,0.003,-12.022,0.001,0.002,0.001,0.004,0.003,0,1737634696
2025-01-23 12:38:59,-11.981,0.001,0.036,0.001,0.008,0.002,-12.022,0.001,0.028,0.001,0.008,0.001,0,1737635939
2025-01-23 16:58:05,-11.985,0.001,0.002,0.001,0.003,0.001,-12.027,0.001,0.001,0.0,0.002,0.001,0,1737651485
2025-01-23 17:06:13,-11.985,0.002,0.002,0.001,0.006,0.004,-12.027,0.001,0.002,0.001,0.005,0.004,0,1737651973
2025-01-23 17:24:09,-11.984,0.004,0.004,0.003,0.013,0.011,-12.026,0.003,0.003,0.002,0.012,0.01,0,1737653049
2025-01-23 17:52:09,-11.983,0.001,0.002,0.001,0.004,0.003,-12.025,0.001,0.002,0.001,0.004,0.002,0,1737654729
